budget_log,popularity_log,popularitylog_to_meanpopularitylog_year,crew_male_count,budgetlog to popularity_ratio,cast_male_count,cast_count,crew_count,crew_female_count,people count in dept_Editing,people count in dept_Production,people count in job_Producer,people count in job_Editor,people count in job_Casting,people count in dept_Visual Effects,cast_female_count,people count in job_Art Direction,count_of_tagline_words,production_companies_count,Keywords_count,part of collection,people count in job_Production Design,people count in job_Screenplay,people count in job_Executive Producer,prod_country_United States of America
16.454567887579532,1.8833343481406795,0.9361110624803857,13.0,8.736933993597203,10.0,24.0,72.0,0.0,2.0,9.0,1.0,1.0,1.0,4.0,8.0,1.0,11.0,3.0,4.0,1.0,1.0,0.0,3.0,1.0
17.50439001207821,2.1100792519819684,1.1520348530836781,4.0,8.295607852471218,10.0,20.0,9.0,4.0,1.0,4.0,3.0,1.0,0.0,0.0,10.0,0.0,13.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0
15.009433026436708,4.1635594757225665,2.1741691989808447,11.0,3.604952232328059,13.0,51.0,64.0,4.0,6.0,18.0,4.0,1.0,2.0,3.0,7.0,1.0,10.0,3.0,12.0,0.0,1.0,1.0,4.0,1.0
13.997832114758229,1.1552874746611754,0.6748118280781675,0.0,12.11631946313928,2.0,7.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
15.89495209964411,0.13808227164819378,0.08041012361894216,0.0,115.11218572751535,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.89495209964411,-0.2966905270097209,-0.2102485752075293,4.0,-53.574181352690516,2.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
16.454567887579532,1.9860201644642965,1.1600488425405182,11.0,8.285196788028555,7.0,14.0,77.0,6.0,9.0,8.0,0.0,2.0,1.0,2.0,3.0,1.0,7.0,2.0,0.0,0.0,1.0,0.0,5.0,1.0
15.89495209964411,0.6673389959504328,0.36434545358172915,0.0,23.818407430254116,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
15.89495209964411,1.9318725093814646,1.1451335597950503,7.0,8.227743819768552,6.0,12.0,8.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,4.0,1.0,0.0,1.0,0.0,1.0
15.60727002719233,1.541594950975691,0.8394032044521306,4.0,10.124105568271569,13.0,20.0,11.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,1.0,7.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0
13.815510557964274,2.692873346404,1.4714971193590412,17.0,5.1303974531194285,20.0,37.0,31.0,2.0,4.0,6.0,2.0,2.0,1.0,0.0,4.0,1.0,7.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0
15.89495209964411,2.355533267312141,1.6692393865682387,1.0,6.747920872194502,12.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,6.0,1.0,0.0,0.0,0.0,1.0
16.523560759066484,3.031416838050485,1.828736373276998,28.0,5.45077158365751,15.0,40.0,109.0,15.0,8.0,11.0,2.0,2.0,2.0,8.0,22.0,1.0,2.0,2.0,21.0,0.0,1.0,1.0,0.0,1.0
17.785802471516394,2.5888336134009267,1.4566869430271925,13.0,6.87019914275269,38.0,59.0,18.0,3.0,2.0,7.0,4.0,1.0,0.0,0.0,18.0,2.0,8.0,4.0,8.0,1.0,1.0,1.0,3.0,1.0
18.440483371248543,3.0284928862729514,1.776323982146826,38.0,6.088996759686146,15.0,23.0,156.0,9.0,6.0,21.0,4.0,1.0,1.0,13.0,8.0,3.0,9.0,7.0,9.0,0.0,1.0,2.0,2.0,1.0
13.122363377404328,0.01830837420097337,0.012281879205720206,1.0,716.7410515733656,4.0,13.0,25.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,13.0,1.0,2.0,0.0,1.0,4.0,0.0,0.0
17.073607095985757,1.8463939506285079,1.0389304069764516,9.0,9.24700121020974,8.0,24.0,35.0,10.0,3.0,8.0,2.0,2.0,2.0,0.0,10.0,1.0,3.0,3.0,4.0,0.0,1.0,1.0,4.0,1.0
15.89495209964411,1.4311620806468945,0.7604873173369525,4.0,11.10632563186658,7.0,19.0,31.0,3.0,1.0,5.0,4.0,1.0,1.0,3.0,6.0,1.0,10.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0
15.89495209964411,1.8712264727542172,1.1472807465497485,2.0,8.494403179455173,6.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,4.0,7.0,0.0,0.0,1.0,0.0,0.0
17.281246460764002,2.4300683952368343,1.367352804630141,9.0,7.111423898453596,6.0,10.0,17.0,0.0,2.0,6.0,2.0,2.0,0.0,0.0,2.0,0.0,10.0,7.0,5.0,1.0,0.0,0.0,1.0,0.0
18.197537192638155,2.4849548986240064,1.6292458206916134,25.0,7.323085502563718,12.0,20.0,120.0,5.0,4.0,23.0,4.0,1.0,3.0,11.0,6.0,3.0,3.0,4.0,3.0,0.0,1.0,2.0,4.0,1.0
15.201804919084164,2.078477326974207,1.400474425280105,8.0,7.313914239908767,3.0,16.0,11.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,9.0,2.0,9.0,1.0,0.0,0.0,0.0,1.0
15.89495209964411,2.056785188879606,1.20138320869358,14.0,7.728056476477536,13.0,30.0,19.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,4.0,3.0,13.0,1.0,0.0,0.0,0.0,1.0
15.89495209964411,0.28015355414178894,0.17176690444704626,3.0,56.736571300464355,11.0,19.0,10.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,5.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0
15.89495209964411,2.006141685220344,1.2993423794369208,5.0,7.923145317574263,6.0,13.0,10.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,13.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0
15.89495209964411,0.22503536071382735,0.14017436578852374,6.0,70.6331309409519,5.0,15.0,14.0,2.0,1.0,4.0,1.0,1.0,1.0,0.0,4.0,0.0,7.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0
16.11809565095832,1.459947855014012,0.8639310905886546,8.0,11.040185850201908,4.0,6.0,18.0,8.0,1.0,7.0,1.0,1.0,3.0,0.0,2.0,1.0,7.0,4.0,4.0,0.0,1.0,0.0,2.0,1.0
16.213405830762646,2.3834174272919446,1.2664943753653002,3.0,6.802587597584377,7.0,24.0,15.0,2.0,1.0,6.0,5.0,1.0,1.0,0.0,11.0,0.0,5.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0
15.60727002719233,1.910901728868999,1.072134817749263,3.0,8.167489615716539,27.0,33.0,18.0,0.0,1.0,13.0,2.0,1.0,1.0,0.0,1.0,0.0,8.0,4.0,6.0,0.0,0.0,0.0,2.0,1.0
17.622173047734595,2.056508068396218,1.2062186501835515,5.0,8.568978317443397,6.0,11.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,14.0,1.0,4.0,0.0,1.0,2.0,0.0,1.0
16.38045991542581,2.778006457273968,1.703242963172811,4.0,5.8964801440741805,16.0,32.0,34.0,0.0,2.0,5.0,3.0,1.0,2.0,0.0,9.0,1.0,17.0,8.0,7.0,0.0,1.0,2.0,0.0,0.0
15.89495209964411,1.7397395951559291,0.9789180499714802,9.0,9.136397276869173,7.0,14.0,18.0,2.0,2.0,9.0,4.0,2.0,1.0,0.0,4.0,0.0,0.0,15.0,15.0,0.0,2.0,1.0,3.0,1.0
18.31532022829454,2.5961830072960326,1.2904323843255656,18.0,7.054710772246463,7.0,22.0,92.0,6.0,10.0,7.0,3.0,2.0,2.0,21.0,9.0,1.0,2.0,7.0,4.0,0.0,1.0,0.0,0.0,1.0
15.89495209964411,2.110801633246594,1.1022395435738948,10.0,7.530291738118616,4.0,31.0,59.0,5.0,0.0,9.0,8.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0
18.75715298057358,2.273991258021793,1.352085031232231,13.0,8.24855984578012,8.0,18.0,18.0,2.0,3.0,5.0,4.0,3.0,0.0,0.0,5.0,0.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
17.216707939626428,2.1083183152762057,1.231484083145172,15.0,8.166085649818447,11.0,15.0,34.0,3.0,3.0,9.0,4.0,1.0,1.0,0.0,1.0,1.0,8.0,5.0,1.0,0.0,1.0,0.0,4.0,1.0
15.89495209964411,0.742174935550062,0.5155102693936847,0.0,21.416719075622765,5.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,11.0,3.0,14.0,0.0,0.0,0.0,0.0,1.0
17.72753356339242,2.6156749368832837,1.4424056223564832,11.0,6.777422268118577,12.0,14.0,13.0,2.0,3.0,4.0,2.0,3.0,0.0,0.0,2.0,0.0,18.0,4.0,8.0,0.0,1.0,2.0,2.0,1.0
15.89495209964411,-1.1109075667622614,-0.590311276885204,2.0,-14.308077985254817,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.150511624696614,1.1170859286766017,0.7613297307919613,7.0,13.562530183013981,13.0,14.0,12.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,5.0,0.0,0.0,3.0,0.0,1.0
15.89495209964411,1.0789624896930872,0.6988248631736188,1.0,14.731700361673795,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0
14.914122846632385,2.2740532022983055,1.5189410209188843,17.0,6.558387829958949,25.0,32.0,28.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,8.0,2.0,12.0,0.0,0.0,2.0,0.0,1.0
17.034386382832476,1.089234790381701,0.7565759679104236,7.0,15.638856317528298,5.0,11.0,12.0,4.0,1.0,4.0,3.0,1.0,1.0,0.0,5.0,1.0,6.0,2.0,10.0,0.0,1.0,1.0,0.0,1.0
15.60727002719233,2.2389089199274737,1.169135889955074,6.0,6.970926726084912,8.0,32.0,12.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,20.0,1.0,5.0,3.0,5.0,0.0,1.0,1.0,0.0,1.0
16.523560759066484,1.7254955493346558,0.9709031990145383,3.0,9.576124821323303,4.0,10.0,12.0,5.0,1.0,4.0,4.0,1.0,0.0,0.0,4.0,0.0,4.0,3.0,6.0,0.0,1.0,0.0,0.0,1.0
15.178239421061456,0.8679690179647647,0.5054486372427195,0.0,17.487075122395233,4.0,15.0,7.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,6.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0
18.197537192638155,2.8121716894826645,1.821393713772623,3.0,6.470990822038262,18.0,42.0,10.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,7.0,0.0,6.0,2.0,11.0,1.0,0.0,1.0,0.0,1.0
17.599700191882537,3.0120396820362076,1.4971338837247083,17.0,5.843116973805849,9.0,18.0,77.0,8.0,5.0,11.0,3.0,1.0,1.0,10.0,4.0,2.0,10.0,3.0,8.0,0.0,1.0,0.0,3.0,1.0
